strategy,treated_share,total_profit,incremental_conversions,incremental_profit_vs_treat_none,intervention_cost,roi,lift_vs_treat_none,lift_vs_treat_all
treat_none,0.0,110499.92249205327,0.0,0.0,0.0,,0.0,0.26978923352620154
treat_all,1.0,87022.25501250729,718.3921381989599,-23477.667479545984,180000.0,-0.1304314859974777,-0.21246772803152333,0.0
random_targeting,0.3299166666666667,102662.42808472765,233.52251870545388,-7837.494407325619,59385.0,-0.13197767798813875,-0.07092760094822023,0.1797261294823087
segment_high,0.3333333333333333,113792.0774838415,596.134714431872,3292.154991788222,60000.0,0.054869249863137036,0.029793278742118404,0.30762041810438845
ite_targeted,0.33208333333333334,115306.96683775571,635.2414924543655,4807.044345702438,59775.0,0.0804189769251767,0.04350269427608098,0.32502848634735093
